Pavadinimas,Iprastine kaina,Kaina su nuolaida
"VIVAVIT vitaminai plius mineralai ir mikroelementai, 30 tab.","9,49",
"MEŠKIS vitaminai ir mineralai, vaikams, 50 guminukų","11,49","6,89"
"VIVAVIT vitaminai A + E, 30 kaps.","5,49","3,29"
"LIVOL MULTI vitaminai vaikams, vaisių skonio, 60 tab.","10,89","5,99"
"NEW NORDIC multivitaminai nėščioms ir maitinančioms moterims, 90 tab.","13,89",
"NEW NORDIC multivitaminai moterims, 90 tab.","13,49",
"NEW NORDIC MULTIVITAMINAI, moterims 55+, 90 tab.","15,69",
"NEW NORDIC multivitaminai vyrams, 120 tab.","21,79",
"NEW NORDIC multivitaminai vyrams, 60 tab.","10,59",
"VIVAVIT MULTI-VITAMINAI , tirpių, 20 tab.","2,93",
"ROYAL GREEN BIO multivitaminai MINI CAPS, nuo 4 metų, 90 tab.","31,19","23,39"
"ROYAL GREEN multivitaminai moterims MULTI WOMAN, 60 tab.","28,19","18,32"
"ROYAL GREEN multivitaminai vyrams Multi Man, 60 tab.","28,19","21,14"
"HEMATOGENAS maisto papildas su sėmenimis ir vitaminais, 50 g","0,99",
"DOPPELHERZ vitaminai diabetikams AKTIV, 30 tablečių","8,19",
"VIVAVIT vitaminai GINKO PLIUS, atminčiai 60 kaps.","14,49","8,69"
"VIVAVIT B grupės vitaminai, nervams 40 kaps.","8,62","4,31"
"VIVAVIT vitaminai akims plius liuteinas, 30 kaps.","11,89","7,13"
"MEŠKIS ežiuolė plius vitaminai, guminukai, 50 vnt.","11,49","6,89"
"VITIRON vitaminai vaikams KIDS GROW UP, 50 kramtomųjų guminukų","11,89",
"KALCIKINON LIQUID su vitaminais D3, K2, fosforu, 150 ml","11,89",
"MEŠKIS vitaminai ir mineralai vaikams, 50 kramtomųjų tablečių","11,99","6,00"
"VIVAVIT B grupės vitaminai, pasiflorų skonio, 20 tirpių tab.","4,89",
"NEW NORDIC multivitaminai vyrams ENERGY BOOST, 120 tab.","24,29",
"ACORUS BALANCE vitaminai su cinku VITAMINUKAI, aviečių skonio, 7 vnt. x 6 g","3,49",
"ACORUS BALANCE vitaminai su cinku VITAMINUKAI, obuolių skonio, 7 vnt. x 6 g","3,49",
