Kompanija,Vaistu pavadinimas,Kiekis,Iprastine kaina,Kaina su nuolaida
AMBIO,"VITAMINAI A IR E FORTE,",30,"5,98€","4,19€"
Haliborange,"Omega-3 & Multivitamins Softies Orange, apelsinų skonio omega-3 ir vitaminų guminukai,",30,"14,99€","6,64€"
AMBIO,"GLUCOBALANCE COMPLEX,",30,"9,48€","16,79€"
Optibac,"KIDS guminukai su gyvybingomis bakterijomis+D+Cal,",30,"23,99€","6,99€"
AMBIO,"MULTIVITAMINAI NĖŠČIOSIOMS IR MAITINANČIOMS MOTERIMS,",30,"9,98€","8,74€"
AMBIO,"VITAMINŲ B KOMPLEKSAS FORTE,",90,"12,48€","10,04€"
SWANSON ,"Vitaminas E, natūralus, kapsulės, N",100,"13,99€","12,94€"
ELLIPS,"SHINY BLACK, tepami vitaminai tamsiems plaukams,",50,"24,99€","10,28€"
ELLIPS,"SILKY BLACK PRO KERATIN, tepami vitaminai tamsiems plaukams su keratinu,",50,"27,99€","11,20€"
DOPPELHERZ,"AKTIV, vitaminai diabetikams,",30,"8,32€","14,62€"
AMBIO,"MULTIVITAMINAI VYRAMS PLIUS,",60,"13,98€","16,14€"
RAW POWDERS,"POWDERS CINKAS + VITAMINAS C + VARIS,",90,"12,55€","9,11€"
SAPIENS ,"multivitaminai merginoms,",30,"21,99€",
NORDAID,"D400+PROBIOTICS, gyvybingos bakterijos, suspencijos pavidalo lašai, 7,",5,"18,49€",
NORDAID,"D400 SPRAY BABIES, purškiamas vitaminas D3 su MCT kokosų aliejumi, 400IU, 200 purškimų,",30,"14,69€",
NORDAID,"D400 BABIES, purškiamas vitaminas D3, 400IU, 30ml,",200,"16,00€",
SAPIENS ,"multivitaminai vaikinams,",30,"21,99€",
NORDAID,"K2+D3 SPRAY, buteliukas,",30,"20,89€",
OILEDIXIN,"VITAMINAI A + E, geriamieji lašai,",10,"3,10€",
ECOSH,"MSM + vitaminas C,",160,"16,99€",
VITADAY,"VITAMINAI A IR E,",30,"3,98€",
DEFENDYL,"IMUNOGLUKAN P4H,",30,"19,99€",
JAMIESON,"STRESS PLEX,",90,"15,19€",
NORDAID,"B-COMPLEX SPRAY, purškiamas vitaminų B kompleksas, 30ml,",200,"26,99€",
DEFENDYL,"IMUNOGLUKAN P4H JUNIOR, skystas maisto papildas,",120,"19,99€","34,07€"
SWANSON ,"Vitaminų B kompleksas, kapsulės, N",100,"16,24€","20,22€"
INOVO ,"mikroelementų ir vitaminų kompleksas moterims,",30,"40,08€","22,94€"
SMART,"WAY, B GRUPĖS VITAMINŲ KOMPLEKSAS, purškiamas maisto papildas,",30,"28,89€","3,84€"
VITADAY,"VITAMINŲ B KOMPLEKSAS,",60,"5,98€","16,94€"
ROYAL,"GREEN BIO VITAMINŲ B KOMPLEKSAS, odai, plaukams, nagams,",60,"26,99€","18,27€"
GLUCO,"VIT,",30,"5,12€","24,22€"
MARIA,"LACTATION,",60,"14,85€","11,75€"
NEW NORDIC,"NORDIC MULBERRY,",60,"21,90€","12,76€"
MULTI-B,"STRONG,",30,"3,99€","7,49€"
MULTI-B,"STRONG,",100,"13,49€","71,99€"
NEUROMULTIVIT ,"plėvele dengtos tabletės, N",100,"16,44€",
SWANSON ,"500mg, L-Lizinas, kapsulės, N",100,"13,99€",
WELLMAN,"70+,",30,"19,66€",
LIBIFEME ,,30,"21,18€",
ROYAL,"GREEN BIO SAW PALMETTO, gulsčiosios serenojos kompleksas,",60,"21,49€",
NEUROMULTIVIT ,"plėvele dengtos tabletės, N",20,"4,88€",
ROYAL,"GREEN MULTI WOMAN, multivitaminai moterims,",60,"28,49€",
FLORADIX ,"VITAMIN-B COMPLEX,",250,"14,69€",
NEW NORDIC,"NORDIC MULTIVITAMIN ACTIVE WOMAN 55+, multivitaminai moterims,",90,"17,01€",
DOPPELHERZ,"AKTIV STRESS-GUTE NERVEN,",30,"6,99€",
VITADAY,"MULTIVITAMINAI MOTERIMS,",60,"12,48€",
Fertilovit,"F 35 PLUS, maisto papildas, kapsulės, N",90,"79,99€",
WELLMAN,"CONCEPTION,",30,"22,01€",
SWANSON,"L-TIROZINAS, 500 mg,",100,"14,52€","71,99€"
VITAKUR,"PLUS 1000,",30,"15,89€","9,72€"
B TOTAL,"TOTAL + MAGNE,",60,"9,96€","8,77€"
WELLMAN,"PROSTACE,",60,"37,81€","24,22€"
SWANSON,"ACETIL L - KARNITINAS 500 mg,",100,"18,99€","12,38€"
FERTILOVIT,"F PCOS, maisto papildas, 60 kapsulių+",30,"79,99€","9,58€"
WALMARK,"DIALEVEL,",30,"10,36€","11,19€"
TOTALPOWER,"WOMAN,",30,"14,69€","12,72€"
OILEDIXIN,"B, kompleksas nervų sistemai,",10,"5,07€",
ECOSH,"BIOAKTYVUS B VITAMINŲ KOMPLEKSAS,",90,"26,99€",
EQUAZEN,"MUMOMEGA,",30,"29,99€",
LIVOL,"MULTI MOTERIMS,",60,"14,96€",
DIFOLIN,"+, geležies įsisavinimui, hemoglobinui,",30,"14,62€",
ROYAL,"GREEN MULTI MAN, multivitaminai vyrams,",60,"28,49€",
PREGNACARE ,,30,"13,94€",
ELEVIT,"PRONATAL, plėvele dengtos tabletės, N",30,"10,59€",
MILGAMMA,"N, minkštosios kapsulės, N",20,"6,29€",
NEW NORDIC,"NORDIC MULTIVITAMIN ACTIVE WOMAN, multivitaminai moterims,",90,"16,50€",
LIVOL,"MULTI VYRAMS,",60,"15,96€",
CENTRUM,"WOMEN, multivitaminai moterims,",30,"15,99€",
NEW NORDIC,"NORDIC MULTIVITAMIN PREGNANT AND BREASTFEEDING WOMAN, multivitaminai nėščioms ir maitinančioms,",90,"16,96€",
SWANSON,"L-ARGININAS, 500 mg,",100,"11,99€",
TOTALPOWER,"MAN,",30,"15,42€",
NEURORUBINE,"FORTE LACTAB, plėvele dengtos tabletės, N",20,"5,99€",
NEW NORDIC,"NORDIC MULTIVITAMIN ACTIVE MAN, multivitaminai vyrams,",60,"13,92€","10,44€"
WELLMAN,"SPORT,",30,"18,00€","17,68€"
NEW NORDIC,"NORDIC MULTIVITAMIN ACTIVE MAN, multivitaminai vyrams,",120,"23,57€","16,14€"
ECOSH,"Testoboost,",130,"16,99€","20,99€"
FOMAN,"UP SHOTS, 25 ml,",14,"27,59€","20,24€"
B COMPLEX ,"COMPLEX,",40,"8,53€","9,45€"
MULTIVITAMIN,"ACTIVE MAN ENERGY BOOST,",120,"27,99€","6,99€"
ACORUS,"BALANCE MEN'S BOOSTER SHOTS, geriamasis tirpalas, 10ml, N",14,"26,99€","2,69€"
ECOSH,"bioaktyvus Cinkas,",90,"12,60€","6,49€"
SAPIENS ,"multivitaminai vyrams (rytas + vakaras),",60,"20,99€","5,12€"
AMBIO,"VITAMINAS D3 3200,",30,"9,98€","3,89€"
AMBIO,"VITAMINAS C (APELSINŲ SKONIO),",20,"4,48€","8,54€"
AMBIO,"LIPOSOMINIS VITAMINAS C SU KVERCETINU,",30,"14,99€","9,68€"
AMBIO,"VITAMINAS C VAIKAMS,",60,"9,98€","11,39€"
JAMIESON,"VITAMINAS C TIRPUSIS, 1000 mg,",10,"8,54€","10,82€"
AMBIO,"VITAMINŲ B KOMPLEKSAS FORTE,",30,"4,98€","7,81€"
AMBIO,"VITAMINAS C 500 mg,",56,"6,48€",
JAMIESON,"VITAMINAS D 1000 TV (25 mcg), lašiukai, 11,",4,"17,57€",
Jamieson,"D vitaminas suaugusiems kramtomasis, 1000 IU N",100,"14,24€",
JAMIESON,"VITAMINAS C APELSINŲ SKONIO, 500 mg,",100,"16,14€",
JAMIESON,"VITAMINO D3 GUMINUKAI, suaugusiems, 1000 TV,",60,"18,99€",
MEGA,"VITAMIN D 4000IU Forte, kapsulės, N",90,"14,49€",
JAMIESON,"VITAMINAS C MIX, 500 mg,",120,"18,04€",
D-MAX ,"50 mcg,",90,"9,19€",
AMBIO,"FOLIO RŪGŠTIS 1000 MIKROGRAMŲ,",90,"7,48€","10,88€"
CURESUPPORT ,"vitaminas C liposomose, apelsinų skonio,",250,"16,21€","19,99€"
NORDAID,"VITAMINAS C LIPOSOMOSE, 1000mg, serumas, 50 paspaudimų,",50,"19,99€","1,95€"
ROYAL,"GREEN VITAMINAS D3, 300TV,",120,"22,99€","11,04€"
EQUILIBRA,"natūralus vitaminas C, apelsinų skonio,",30,"14,50€","10,39€"
Natura,"Media Vitaminas D3 100µg,",200,"24,99€","8,09€"
SWANSON ,"1000TV, Vitaminas D3, kapsulės, N",250,"14,99€","19,99€"
